1,A01,"Elphinstone College, Fort",Mumbai City,GOVT. AIDED,50,aishwaryaramani.anand@gmail.com
2,A02,"K.C.College, Churchgate",Mumbai City,GOVT. AIDED,300,
3,A03,"H R College, Churchgate",Mumbai City,GOVT. AIDED,100,
4,A04,"Siddharth College Comm & Eco, Fort",Mumbai City,GOVT. AIDED,200,
5,A05,"Siddharth College of ASC, CST",Mumbai City,GOVT. AIDED,250,
6,A06,"Jai Hind College, Churchgate",Mumbai City,GOVT. AIDED,100,
7,A07,"Sydenham Collge, Churchgate ",Mumbai City,GOVT. AIDED,100,
8,A08,"K.P.B Hinduja College, Charni Road",Mumbai City,GOVT. AIDED,200,
9,A09,"Bhavan's H.S. College, Girgaon",Mumbai City,GOVT. AIDED,200,
10,A10,"N.S.S College, Tardeo",Mumbai City,GOVT. AIDED,100,aishwaryaramani.anand@gmail.com
11,A11,"Wilson College, Girgaon",Mumbai City,GOVT. AIDED,50,aishwaryamani.anand@gmail.com
12,A12,"Sophia College, B. Desai Road",Mumbai City,GOVT. AIDED,200,
13,A13,"Lala Lajpatrai Collge, Mahalaxmi",Mumbai City,GOVT. AIDED,200,
14,A14,"S.G.M.College, Grant Road",Mumbai City,GOVT. AIDED,100,
15,A15,"Akbar Pearbhoy College, Buculla",Mumbai City,GOVT. AIDED,50,
16,A16,"Dr. T K Tope night College, Parel",Mumbai City,GOVT. AIDED,100,
17,A17,"M.D. College, Parel",Mumbai City,GOVT. AIDED,150,
18,A18,"Kirti College, Dadar",Mumbai City,GOVT. AIDED,200,
19,A19,"D.G. Ruparel College, Mahim",Mumbai City,GOVT. AIDED,100,
20,A20,"Ramanrain Ruia College, Matunga",Mumbai City,GOVT. AIDED,250,
21,A21,"R.A Podar College, Matunga",Mumbai City,GOVT. AIDED,100,
22,A22,"Dr. Ambedkar College, Wadala",Mumbai City,GOVT. AIDED,200,
23,A23,"S.I.W.S.N.R.Swamy College, Wadala",Mumbai City,GOVT. AIDED,150,
24,A24,"G.N Khalsa College, Matunga",Mumbai City,GOVT. AIDED,200,
25,A25,"S.I.E.S College of Arts, SCi &Com, Sion",Mumbai City,GOVT. AIDED,100,
26,A26,"S.I.E.S. College of Comm & Eco, Sion",Mumbai City,GOVT. AIDED,100,
27,A27,"The Gurunanak College, GTB Nagar",Mumbai City,GOVT. AIDED,200,
28,A30,"Institute of SCience, Md Kama Rd, Mumbai",Mumbai City,GOVT. AIDED,50,
29,A33,"Vidyalankar SChool of I.T (VSIT), Wadala",Mumbai City,GOVT. AIDED,120,
30,A34,"Institute of Forensic SCience, M.Kama Road",Mumbai City,GOVT. AIDED,50,
31,A38,"Vasantdada Patil College of Engg, Chunabhatti",Mumbai City,GOVT. AIDED,50,
32,A39,"Government Law College, Churchgate",Mumbai City,GOVT. AIDED,50,
1,B01,"Chetana College, Bandra",Mumbai Western,GOVT. AIDED,200,
2,B02,"Rizvi College, Bandra",Mumbai Western,GOVT. AIDED,200,
3,B03,"St.Andrews College, Bandra",Mumbai Western,GOVT. AIDED,100,
4,B04,"Smt. MMK College, Bandra",Mumbai Western,GOVT. AIDED,50,
5,B05,"R.D.National College, Bandra",Mumbai Western,GOVT. AIDED,250,
6,B06,"Thadomal Sahani College, Bandra",Mumbai Western,GOVT. AIDED,200,
7,B07,"Fr. Conceicao Rodrigues Enggi. College, Bandra",Mumbai Western,GOVT. AIDED,100,
8,B08,"MPSP Singh College, Bandra",Mumbai Western,GOVT. AIDED,150,
9,B09,"L.S. Raheja, Santacruz",Mumbai Western,GOVT. AIDED,100,
10,B10,"Patuck Gala College, VkKola, Santacruz",Mumbai Western,GOVT. AIDED,200,
